Country.Name,Country.Code,Year,GNI.caput
Argentina,ARG,1962,NA
Australia,AUS,1962,1870
Brazil,BRA,1962,230
China,CHN,1962,70
France,FRA,1962,1570
Germany,DEU,1962,NA
India,IND,1962,90
Indonesia,IDN,1962,NA
Italy,ITA,1962,960
Japan,JPN,1962,610
"Korea, Rep.",KOR,1962,110
Mexico,MEX,1962,360
Netherlands,NLD,1962,1220
Russian Federation,RUS,1962,NA
Saudi Arabia,SAU,1962,NA
Spain,ESP,1962,500
Switzerland,CHE,1962,NA
Turkey,TUR,1962,NA
United Kingdom,GBR,1962,NA
United States,USA,1962,3280
Afghanistan,AFG,1962,NA
Algeria,DZA,1962,180
Albania,ALB,1962,NA
Angola,AGO,1962,NA
Armenia,ARM,1962,NA
Austria,AUT,1962,1060
Azerbaijan,AZE,1962,NA
Bangladesh,BGD,1962,NA
Belarus,BLR,1962,NA
Belgium,BEL,1962,1450
Belize,BLZ,1962,330
Benin,BEN,1962,90
Bolivia,BOL,1962,NA
Bosnia and Herzegovina,BIH,1962,NA
Botswana,BWA,1962,70
Bulgaria,BGR,1962,NA
Burkina Faso,BFA,1962,80
Cambodia,KHM,1962,NA
Cameroon,CMR,1962,NA
Canada,CAN,1962,2340
Central African Republic,CAF,1962,80
Chad,TCD,1962,110
Chile,CHL,1962,600
Colombia,COL,1962,280
"Congo, Rep.",COG,1962,150
Costa Rica,CRI,1962,360
Cote d'Ivoire,CIV,1962,170
Croatia,HRV,1962,NA
Cuba,CUB,1962,NA
Cyprus,CYP,1962,NA
Czech Republic,CZE,1962,NA
Denmark,DNK,1962,NA
Dominican Republic,DOM,1962,220
Ecuador,ECU,1962,210
"Egypt, Arab Rep.",EGY,1962,NA
El Salvador,SLV,1962,NA
Estonia,EST,1962,NA
Ethiopia,ETH,1962,NA
Finland,FIN,1962,1370
"Gambia, The",GMB,1962,NA
Gabon,GAB,1962,340
Georgia,GEO,1962,NA
Ghana,GHA,1962,190
Greece,GRC,1962,630
Guatemala,GTM,1962,260
Guinea,GIN,1962,NA
Guinea-Bissau,GNB,1962,NA
Guyana,GUY,1962,290
Haiti,HTI,1962,NA
Honduras,HND,1962,180
Hungary,HUN,1962,NA
Iceland,ISL,1962,1540
Jamaica,JAM,1962,NA
Jordan,JOR,1962,NA
Kazakhstan,KAZ,1962,NA
Kenya,KEN,1962,100
Kyrgyz Republic,KGZ,1962,NA
Lao PDR,LAO,1962,NA
Latvia,LVA,1962,NA
Lebanon,LBN,1962,NA
Lesotho,LSO,1962,NA
Liberia,LBR,1962,160
Libya,LBY,1962,NA
Lithuania,LTU,1962,NA
Luxembourg,LUX,1962,1630
"Macedonia, FYR",MKD,1962,NA
Malawi,MWI,1962,50
Malaysia,MYS,1962,300
Mali,MLI,1962,NA
Malta,MLT,1962,NA
Mauritania,MRT,1962,NA
Moldova,MDA,1962,NA
Mongolia,MNG,1962,NA
Montenegro,MNE,1962,NA
Morocco,MAR,1962,180
Mozambique,MOZ,1962,NA
Myanmar,MMR,1962,NA
Namibia,NAM,1962,NA
Nepal,NPL,1962,60
New Zealand,NZL,1962,NA
Nicaragua,NIC,1962,140
Niger,NER,1962,150
Nigeria,NGA,1962,100
Norway,NOR,1962,1610
Pakistan,PAK,1962,90
Panama,PAN,1962,460
Paraguay,PRY,1962,NA
Peru,PER,1962,290
Philippines,PHL,1962,220
Poland,POL,1962,NA
Portugal,PRT,1962,410
Romania,ROM,1962,NA
Rwanda,RWA,1962,40
Senegal,SEN,1962,NA
Serbia,SRB,1962,NA
Sierra Leone,SLE,1962,NA
Slovak Republic,SVK,1962,NA
Slovenia,SVN,1962,NA
Sri Lanka,LKA,1962,140
South Africa,ZAF,1962,430
Sudan,SDN,1962,120
Suriname,SUR,1962,NA
Swaziland,SWZ,1962,NA
Sweden,SWE,1962,2310
Tajikistan,TJK,1962,NA
Tanzania,TZA,1962,NA
Thailand,THA,1962,NA
Togo,TGO,1962,90
Tunisia,TUN,1962,NA
Turkmenistan,TKM,1962,NA
Uganda,UGA,1962,NA
Ukraine,UKR,1962,NA
United Arab Emirates,ARE,1962,NA
Uruguay,URY,1962,580
Uzbekistan,UZB,1962,NA
"Venezuela, RB",VEN,1962,1130
Vietnam,VNM,1962,NA
"Yemen, Rep.",YEM,1962,NA
Zambia,ZMB,1962,190
Zimbabwe,ZWE,1962,270
Argentina,ARG,1963,NA
Australia,AUS,1963,1970
Brazil,BRA,1963,250
China,CHN,1963,80
France,FRA,1963,1700
Germany,DEU,1963,NA
India,IND,1963,100
Indonesia,IDN,1963,NA
Italy,ITA,1963,1060
Japan,JPN,1963,690
"Korea, Rep.",KOR,1963,120
Mexico,MEX,1963,380
Netherlands,NLD,1963,1310
Russian Federation,RUS,1963,NA
Saudi Arabia,SAU,1963,NA
Spain,ESP,1963,570
Switzerland,CHE,1963,NA
Turkey,TUR,1963,NA
United Kingdom,GBR,1963,NA
United States,USA,1963,3410
Afghanistan,AFG,1963,NA
Algeria,DZA,1963,230
Albania,ALB,1963,NA
Angola,AGO,1963,NA
Armenia,ARM,1963,NA
Austria,AUT,1963,1140
Azerbaijan,AZE,1963,NA
Bangladesh,BGD,1963,NA
Belarus,BLR,1963,NA
Belgium,BEL,1963,1530
Belize,BLZ,1963,340
Benin,BEN,1963,100
Bolivia,BOL,1963,NA
Bosnia and Herzegovina,BIH,1963,NA
Botswana,BWA,1963,80
Bulgaria,BGR,1963,NA
Burkina Faso,BFA,1963,80
Cambodia,KHM,1963,NA
Cameroon,CMR,1963,NA
Canada,CAN,1963,2360
Central African Republic,CAF,1963,80
Chad,TCD,1963,110
Chile,CHL,1963,640
Colombia,COL,1963,290
"Congo, Rep.",COG,1963,150
Costa Rica,CRI,1963,350
Cote d'Ivoire,CIV,1963,190
Croatia,HRV,1963,NA
Cuba,CUB,1963,NA
Cyprus,CYP,1963,NA
Czech Republic,CZE,1963,NA
Denmark,DNK,1963,NA
Dominican Republic,DOM,1963,240
Ecuador,ECU,1963,210
"Egypt, Arab Rep.",EGY,1963,NA
El Salvador,SLV,1963,NA
Estonia,EST,1963,NA
Ethiopia,ETH,1963,NA
Finland,FIN,1963,1470
"Gambia, The",GMB,1963,NA
Gabon,GAB,1963,410
Georgia,GEO,1963,NA
Ghana,GHA,1963,200
Greece,GRC,1963,710
Guatemala,GTM,1963,280
Guinea,GIN,1963,NA
Guinea-Bissau,GNB,1963,NA
Guyana,GUY,1963,260
Haiti,HTI,1963,NA
Honduras,HND,1963,180
Hungary,HUN,1963,NA
Iceland,ISL,1963,1740
Jamaica,JAM,1963,NA
Jordan,JOR,1963,NA
Kazakhstan,KAZ,1963,NA
Kenya,KEN,1963,100
Kyrgyz Republic,KGZ,1963,NA
Lao PDR,LAO,1963,NA
Latvia,LVA,1963,NA
Lebanon,LBN,1963,NA
Lesotho,LSO,1963,NA
Liberia,LBR,1963,160
Libya,LBY,1963,NA
Lithuania,LTU,1963,NA
Luxembourg,LUX,1963,1680
"Macedonia, FYR",MKD,1963,NA
Malawi,MWI,1963,50
Malaysia,MYS,1963,300
Mali,MLI,1963,NA
Malta,MLT,1963,NA
Mauritania,MRT,1963,NA
Moldova,MDA,1963,NA
Mongolia,MNG,1963,NA
Montenegro,MNE,1963,NA
Morocco,MAR,1963,190
Mozambique,MOZ,1963,NA
Myanmar,MMR,1963,NA
Namibia,NAM,1963,NA
Nepal,NPL,1963,50
New Zealand,NZL,1963,NA
Nicaragua,NIC,1963,150
Niger,NER,1963,160
Nigeria,NGA,1963,110
Norway,NOR,1963,1710
Pakistan,PAK,1963,100
Panama,PAN,1963,490
Paraguay,PRY,1963,NA
Peru,PER,1963,310
Philippines,PHL,1963,190
Poland,POL,1963,NA
Portugal,PRT,1963,430
Romania,ROM,1963,NA
Rwanda,RWA,1963,40
Senegal,SEN,1963,NA
Serbia,SRB,1963,NA
Sierra Leone,SLE,1963,NA
Slovak Republic,SVK,1963,NA
Slovenia,SVN,1963,NA
Sri Lanka,LKA,1963,130
South Africa,ZAF,1963,460
Sudan,SDN,1963,120
Suriname,SUR,1963,NA
Swaziland,SWZ,1963,NA
Sweden,SWE,1963,2490
Tajikistan,TJK,1963,NA
Tanzania,TZA,1963,NA
Thailand,THA,1963,NA
Togo,TGO,1963,90
Tunisia,TUN,1963,NA
Turkmenistan,TKM,1963,NA
Uganda,UGA,1963,NA
Ukraine,UKR,1963,NA
United Arab Emirates,ARE,1963,NA
Uruguay,URY,1963,610
Uzbekistan,UZB,1963,NA
"Venezuela, RB",VEN,1963,1170
Vietnam,VNM,1963,NA
"Yemen, Rep.",YEM,1963,NA
Zambia,ZMB,1963,190
Zimbabwe,ZWE,1963,280
Argentina,ARG,1964,1110
Australia,AUS,1964,2110
Brazil,BRA,1964,270
China,CHN,1964,90
France,FRA,1964,1880
Germany,DEU,1964,NA
India,IND,1964,110
Indonesia,IDN,1964,NA
Italy,ITA,1964,1160
Japan,JPN,1964,800
"Korea, Rep.",KOR,1964,130
Mexico,MEX,1964,430
Netherlands,NLD,1964,1460
Russian Federation,RUS,1964,NA
Saudi Arabia,SAU,1964,NA
Spain,ESP,1964,640
Switzerland,CHE,1964,NA
Turkey,TUR,1964,NA
United Kingdom,GBR,1964,NA
United States,USA,1964,3610
Afghanistan,AFG,1964,NA
Algeria,DZA,1964,230
Albania,ALB,1964,NA
Angola,AGO,1964,NA
Armenia,ARM,1964,NA
Austria,AUT,1964,1240
Azerbaijan,AZE,1964,NA
Bangladesh,BGD,1964,NA
Belarus,BLR,1964,NA
Belgium,BEL,1964,1670
Belize,BLZ,1964,350
Benin,BEN,1964,110
Bolivia,BOL,1964,NA
Bosnia and Herzegovina,BIH,1964,NA
Botswana,BWA,1964,80
Bulgaria,BGR,1964,NA
Burkina Faso,BFA,1964,80
Cambodia,KHM,1964,NA
Cameroon,CMR,1964,NA
Canada,CAN,1964,2470
Central African Republic,CAF,1964,80
Chad,TCD,1964,110
Chile,CHL,1964,660
Colombia,COL,1964,310
"Congo, Rep.",COG,1964,160
Costa Rica,CRI,1964,350
Cote d'Ivoire,CIV,1964,220
Croatia,HRV,1964,NA
Cuba,CUB,1964,NA
Cyprus,CYP,1964,NA
Czech Republic,CZE,1964,NA
Denmark,DNK,1964,NA
Dominican Republic,DOM,1964,260
Ecuador,ECU,1964,220
"Egypt, Arab Rep.",EGY,1964,NA
El Salvador,SLV,1964,NA
Estonia,EST,1964,NA
Ethiopia,ETH,1964,NA
Finland,FIN,1964,1620
"Gambia, The",GMB,1964,NA
Gabon,GAB,1964,340
Georgia,GEO,1964,NA
Ghana,GHA,1964,210
Greece,GRC,1964,790
Guatemala,GTM,1964,280
Guinea,GIN,1964,NA
Guinea-Bissau,GNB,1964,NA
Guyana,GUY,1964,290
Haiti,HTI,1964,NA
Honduras,HND,1964,190
Hungary,HUN,1964,NA
Iceland,ISL,1964,2050
Jamaica,JAM,1964,NA
Jordan,JOR,1964,NA
Kazakhstan,KAZ,1964,NA
Kenya,KEN,1964,110
Kyrgyz Republic,KGZ,1964,NA
Lao PDR,LAO,1964,NA
Latvia,LVA,1964,NA
Lebanon,LBN,1964,NA
Lesotho,LSO,1964,NA
Liberia,LBR,1964,190
Libya,LBY,1964,NA
Lithuania,LTU,1964,NA
Luxembourg,LUX,1964,1870
"Macedonia, FYR",MKD,1964,NA
Malawi,MWI,1964,50
Malaysia,MYS,1964,310
Mali,MLI,1964,NA
Malta,MLT,1964,NA
Mauritania,MRT,1964,NA
Moldova,MDA,1964,NA
